,Country,Year,gdp,pop_density,pop,gender_ratio,exp_imp,edu_prim,gva_ag,gva_indst,gva_servc,labor_part,unemp,energy_prod,energy_supp,internet,tourism,health,parliam_women,food_prod,cpi,mort_child,life_exp,mort_mother,pop_gain,num_child,pop_migrants,pop_unhcr,urban,ghg_emissions
115,Chad,2010,923.0,9.4,11.89,100.0,76.03027754415474,145.25063078216988,31.8308,32.8596,35.3096,71.5,5.8,27.2497897392767,7.0,1.7,10.603630574940713,4.0602,5.2,154.4,100.0,105.2,48.9,1036.0,3.3,6.9,3.5,44831.70731707317,22.0,2.28
116,Chad,2015,838.0,11.1,14.01,100.2,50.107066381156315,162.03454675231976,29.7528,31.9691,38.2781,71.3,5.7,26.76659528907923,6.0,3.5,13.06664161126694,4.5462,14.9,145.0,115.9,91.2,51.7,856.0,3.3,6.3,3.7,33798.929336188434,22.5,2.17
117,Chile,2005,7615.0,21.7,16.15,97.9,560.123839009288,106.56043343653252,4.5172,40.2774,55.2053,57.5,8.0,24.148606811145513,72.0,31.2,99.56656346749227,6.5887,12.5,99.7,105.15,8.4,77.4,27.0,1.1,2.0,1.7,56.53250773993808,86.8,4.69
118,Chile,2010,12860.0,22.9,16.99,98.0,712.1247792819306,91.02666274278988,3.9265,38.7614,57.3121,60.8,8.4,22.601530311948206,75.0,45.0,139.0229546792231,6.7749,14.2,108.0,101.4,7.8,78.1,26.0,1.0,1.9,2.2,111.53619776339023,87.1,5.35
119,Chile,2015,13737.0,23.9,17.76,98.1,-19.93243243243243,83.1947072072072,4.1188,32.4976,63.3836,62.3,6.5,30.405405405405403,85.0,76.6,192.1171171171171,8.3,15.8,111.6,108.9,7.4,78.8,22.0,0.9,1.8,2.6,141.72297297297297,87.4,5.93
120,China,2005,1730.0,140.8,1321.62,105.8,77.17876545451794,74.52091372709252,11.9669,47.1715,40.8617,73.4,4.1,48.29754392336678,53.0,8.5,22.166734764909734,4.1422,20.2,100.3,107.45,25.3,73.1,48.0,0.6,1.6,0.1,227.84612823655817,42.5,5.5
121,China,2010,4487.0,144.8,1359.76,106.1,133.67211860916632,74.29150953109372,9.8128,46.5791,43.6081,71.0,4.2,65.1894451962111,75.0,34.3,33.692710478319704,4.208,21.3,120.5,100.0,16.7,74.7,35.0,0.6,1.6,0.1,221.44201917985527,49.2,7.43
122,China,2015,7920.0,148.8,1397.03,106.3,425.11900245520854,68.68716992476897,9.1302,41.0902,49.7796,69.9,4.6,72.19887905055725,86.0,50.3,32.18900095201964,4.8887,23.6,137.5,114.9,11.6,75.7,27.0,0.5,1.6,0.1,215.90159123282965,55.5,8.49
129,Colombia,2005,3386.0,39.0,43.29,97.6,-0.32340032340032343,122.38985908985909,8.4422,32.7922,58.7656,67.1,11.9,77.03857703857705,27.0,11.0,43.68214368214368,5.528,12.0,98.8,79.7,20.5,71.7,80.0,1.4,2.3,0.2,46204.78170478171,76.0,3.21
130,Colombia,2010,6251.0,41.4,45.92,97.3,-18.79355400696864,110.73545296167246,7.0985,34.9575,57.944,69.2,10.9,97.69163763066202,31.0,36.5,74.93466898954703,6.2559,8.4,102.2,100.0,19.0,72.9,72.0,1.2,2.1,0.3,79974.82578397212,78.0,3.3
131,Colombia,2015,6045.0,43.5,48.23,97.0,-380.36491810076717,92.87202985693553,6.6152,33.4351,59.9498,70.8,8.2,111.40369064897368,34.0,55.9,108.54240099523119,6.0227,19.9,119.8,117.6,17.9,73.7,64.0,1.0,1.9,0.3,135197.57412398924,79.8,3.37
132,Comoros,2005,1287.0,328.7,0.61,101.4,-132.78688524590163,179.93056752414572,37.2749,10.9193,51.8058,41.9,4.5,3.278688524590164,6.0,2.0,39.34426229508197,9.8682,3.0,96.3,84.4,72.6,59.6,436.0,2.4,5.2,2.2,1.639344262295082,27.9,0.47
133,Comoros,2010,1315.0,370.6,0.69,101.6,-242.0289855072464,155.84534708810895,31.6185,12.2409,56.1406,42.6,4.4,2.8985507246376816,7.0,5.1,50.72463768115942,8.5229,3.0,106.5,100.0,66.7,60.9,388.0,2.4,4.9,1.8,1.4492753623188408,28.0,0.5
134,Comoros,2015,1271.0,417.7,0.78,101.7,-106.41025641025641,56.875944424542254,31.1142,11.8349,57.0509,43.6,4.4,3.846153846153846,7.0,7.5,37.82051282051282,7.6843,3.0,108.7,92.2,58.1,62.8,335.0,2.4,4.6,1.6,1.282051282051282,28.5,0.54
135,Congo,2005,1708.0,10.9,3.72,99.9,914.516129032258,160.56559139784946,5.4606,59.7047,34.8347,68.7,19.8,151.34408602150538,13.0,1.5,10.75268817204301,1.8759,8.5,100.4,78.9,81.1,52.1,596.0,2.8,5.1,8.5,20870.96774193548,61.0,1.88
136,Congo,2010,3118.0,12.8,4.39,100.1,580.4100227790433,160.61343963553531,4.0703,68.3521,27.5776,69.5,14.6,164.92027334851937,16.0,5.0,8.883826879271071,1.9806,7.3,121.9,100.0,61.0,58.0,509.0,3.3,5.0,9.6,31593.39407744875,63.3,1.67
137,Congo,2015,2220.0,14.6,5.0,100.1,-129.4,130.2397,7.5781,48.064,44.3579,69.5,10.0,122.2,22.0,7.6,9.4,3.4154,7.4,135.2,118.5,46.5,62.5,442.0,2.6,4.9,7.9,13162.0,65.5,1.46
141,Costa Rica,2005,4697.0,83.2,4.25,100.6,-476.0,127.54988235294117,9.5566,26.8934,63.55,62.5,6.6,21.88235294117647,41.0,22.1,472.47058823529414,6.6952,35.1,97.8,63.5,10.9,77.8,31.0,1.6,2.2,8.4,2700.235294117647,65.7,2.71
142,Costa Rica,2010,8199.0,89.0,4.55,100.4,-1071.4285714285716,114.41956043956046,7.1889,25.3627,67.4483,61.6,8.9,22.857142857142858,45.0,36.5,533.1868131868132,8.1134,36.8,114.6,100.0,10.0,78.4,29.0,1.4,2.0,8.9,4378.021978021979,71.7,2.83
